model,year,region,color,fuel_type,base_price_usd,horsepower,sales_volume,turbo
GLB,2022,Global,Black,Petrol,47822,250,1,Yes
GLE,2023,Global,White,Petrol,119069,275,1,Yes
C-Class,2025,Global,White,Electric,80026,202,1,Yes
A-Class,2024,Global,Black,Hybrid,60470,228,1,Yes
CLA,2022,Global,Red,Diesel,66392,227,1,Yes
GLB,2022,Global,Silver,Petrol,38421,290,1,Yes
GLB,2022,Global,White,Petrol,76302,322,1,Yes
C-Class,2023,Global,Red,Petrol,56570,289,1,Yes
S-Class,2024,Global,Black,Petrol,215412,416,1,Yes
GLC,2023,Global,Grey,Hybrid,75009,498,1,No
GLS,2020,Global,White,Petrol,346258,349,1,No
GLA,2020,Global,Grey,Petrol,47699,245,1,Yes
A-Class,2022,Global,Silver,Hybrid,52233,326,1,Yes
GLA,2024,Global,Black,Diesel,97344,168,1,Yes
GLC,2025,Global,Black,Hybrid,138565,454,1,No
GLA,2021,Global,White,Diesel,75175,219,1,Yes
E-Class,2021,Global,White,Petrol,72218,551,1,Yes
GLB,2022,Global,Blue,Petrol,69044,364,1,No
GLA,2023,Global,Blue,Petrol,73084,401,1,No
GLA,2024,Global,White,Petrol,49161,356,1,Yes
A-Class,2025,Global,Green,Hybrid,92245,393,1,Yes
A-Class,2020,Global,White,Petrol,44462,246,1,Yes
CLS,2023,Global,White,Diesel,41978,502,1,Yes
GLS,2022,Global,White,Diesel,190325,391,1,Yes
GLE,2024,Global,White,Petrol,134310,352,1,Yes
C-Class,2025,Global,White,Petrol,56482,420,1,Yes
AMG GT,2020,Global,White,Petrol,327791,693,1,Yes
GLB,2022,Global,Brown,Petrol,79331,369,1,Yes
GLC,2023,Global,Grey,Petrol,112124,246,1,Yes
GLC,2023,Global,White,Petrol,79583,422,1,Yes
A-Class,2022,Global,Black,Diesel,73334,323,1,No
C-Class,2025,Global,Silver,Electric,92517,242,1,Yes
C-Class,2025,Global,White,Hybrid,85655,283,1,Yes
C-Class,2025,Global,Blue,Petrol,92476,428,1,Yes
C-Class,2021,Global,White,Electric,56031,203,1,Yes
C-Class,2023,Global,Silver,Hybrid,53822,319,1,No
GLC,2024,Global,White,Electric,165664,359,1,Yes
E-Class,2022,Global,White,Diesel,89577,375,1,Yes
A-Class,2024,Global,Grey,Petrol,66717,266,1,Yes
A-Class,2020,Global,White,Petrol,89930,303,1,Yes
E-Class,2022,Global,Grey,Petrol,75752,470,1,Yes
GLE,2025,Global,Red,Electric,94864,419,1,No
GLC,2022,Global,White,Petrol,128951,235,1,Yes
C-Class,2021,Global,Blue,Diesel,55864,257,1,Yes
GLC,2022,Global,White,Petrol,144944,462,1,Yes
G-Class,2021,Global,Blue,Petrol,202784,426,1,Yes
E-Class,2020,Global,Grey,Petrol,36084,352,1,Yes
C-Class,2021,Global,White,Petrol,45377,390,1,Yes
G-Class,2023,Global,White,Petrol,233458,478,1,Yes
GLA,2025,Global,Grey,Hybrid,92049,311,1,Yes
A-Class,2022,Global,Black,Petrol,81080,352,1,Yes
C-Class,2020,Global,Silver,Petrol,79333,321,1,Yes
CLS,2023,Global,Brown,Petrol,83345,469,1,Yes
GLE,2020,Global,Blue,Petrol,114555,309,1,Yes
G-Class,2025,Global,Black,Hybrid,196787,533,1,Yes
